10656
ATR-X syndrome	C538258
Mental Retardation, X-Linked 63	C564522
Neuroaxonal Dystrophies	D019150
Retinal Detachment	D012163
Leprosy, Lepromatous	D015440
Eye Pain	D058447
declines in simple and sustained attention, working memory, and verbal memory	D008569
pupillary abnormalities	D011681
Postoperative myalgia	D010149
Stevens-Johnson syndrome	D013262
Primary pulmonary hypertension	D006976
Tooth Diseases	D014076
cirrhosis	D005355
multiple myeloma	D009101
Hutchinson's Melanotic Freckle	D018327
hypoaldosteronism	D006994
Hypospadias 1, X-Linked	C567482
gallstones	D042882
MUSCULAR DYSTROPHY, AUTOSOMAL RECESSIVE, WITH CARDIOMYOPATHY AND TRIANGULAR TONGUE	616827
glomerular lesions	D007674
Prekallikrein Deficiency	C562725
gingival hyperplasia	D005885
Bell Palsy	D020330
akinesis	D018476
Noonan Syndrome 5	C548083
CHILBLAIN LUPUS 2	614415
colorectal adenomas	D015179
Carboxypeptidase N Deficiency	C562876
HYPOGONADOTROPIC HYPOGONADISM 16 WITH OR WITHOUT ANOSMIA	614897
Congenital idiopathic intestinal pseudoobstruction	C535532
AMYOTROPHIC LATERAL SCLEROSIS 22 WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA	616208
Febrile Neutropenia	D064147
ventricular septal defect	D006345
Vitamin A Deficiency	D014802
Tooth Demineralization	D017001
Peutz-Jeghers Syndrome	D010580
degeneration of myelin and axons	D003711
precordial pain	D002637
Visceral myopathy familial external ophthalmoplegia	C536350
Cutis Laxa, Autosomal Recessive, Type IIB	C567855
Histiocytosis, Sinus	D015618
Transient Myeloproliferative Disorder of Down Syndrome	C566024
leukocytoclastic vasculitis	C535509
cerebral vasculitis	D020293
Iminoglycinuria	C536285
carcinoma of the renal pelvis	D010386
Cayler cardiofacial syndrome	C535349
STICKLER SYNDROME, TYPE V	614284
Rapidly progressive glomerulonephritis with pulmonary hemorrhage	C538458
Enteropathy-Associated T-Cell Lymphoma	D058527
embryolethality	D020964
Intracranial Hemorrhages	D020300
bile duct injury	D002779
Keratolytic winter erythema	C536155
cluster headache	D003027
HYPERLIPOPROTEINEMIA, TYPE ID	615947
Tight skin contracture syndrome, lethal	C536920
cardiac dysrhythmias	D001145
NEURODEVELOPMENTAL DISORDER WITH SPASTIC PARAPLEGIA AND MICROCEPHALY	616281
ceroid lipofuscinosis	D009472
Pemphigus	D010392
contralateral rotation	D009069
neurological and psychiatric disorders	D001523
Radiation Injuries	D011832
MITOCHONDRIAL DNA DEPLETION SYNDROME 9 (ENCEPHALOMYOPATHIC TYPE WITH METHYLMALONIC ACIDURIA)	245400
Acute-Phase Reaction	D000210
MENTAL RETARDATION, AUTOSOMAL RECESSIVE 51	616739
aphasia	D001037
Lymphoma, T-Cell, Peripheral	D016411
bradycardia	D001919
Hand Dermatoses	D006229
thyroid disease	D013959
Voice Disorders	D014832
Spinal Diseases	D013122
PULMONARY FIBROSIS AND/OR BONE MARROW FAILURE, TELOMERE-RELATED, 1	614742
Hydatidiform Mole	D006828
agoraphobia	D000379
cardiopulmonary arrest	D006323
chronic hepatitis B	D019694
Hernia, Abdominal	D046449
Lesch-Nyhan Syndrome	D007926
Neoplastic Syndromes, Hereditary	D009386
Myotonic Disorders	D020967
46,XY SEX REVERSAL 6	613762
weakness of the central nervous system	D002493
Mastodynia	D059373
hallucinations	D006212
Glutathione synthetase deficiency	C536835
urothelial toxicity	D001745
restless legs syndrome	D012148
Pulmonary Alveolar Microlithiasis	C562405
cardiac abnormalities	D006331
Nevo syndrome	C536113
Myoclonic Epilepsies, Progressive	D020191
Temple-Baraitser Syndrome	C567516
NEPHRONOPHTHISIS 9	613824
Myositis, Inclusion Body	D018979
Cardiovascular complications	D002318
Nasal Obstruction	D015508
Neutropenia, Severe Congenital, Autosomal Recessive 3	C537592
necrotising fasciitis	D019115
Hypophosphatasia, Infantile	C562646
Osteoarthritis with Mild Chondrodysplasia	C565740
Temporomandibular Joint Disorders	D013705
withdrawal-emergent RS	D001480
Genetic Diseases, Inborn	D030342
OB	D009765
Metaphyseal Dysplasia with Maxillary Hypoplasia and Brachydactyly	C563586
Inclusion Body Myopathy With Early-Onset Paget Disease And Frontotemporal Dementia	C563476
ATRIAL FIBRILLATION, FAMILIAL, 12	614050
Parasomnias	D020447
Jervell And Lange-Nielsen Syndrome 2	C567343
Peroxisomal ACYL-COA oxidase deficiency	C536662
TRANSCOBALAMIN II DEFICIENCY	275350
Leukemia, Myeloid, Acute	D015470
Thrombophilia Due To Elevated Histidine-Rich Glycoprotein	C567737
MOYAMOYA DISEASE 5	614042
gastrointestinal bleeding	D006471
downbeating nystagmus	D009759
myocardial ischemia	D017202
bronchiolitis obliterans	D001989
HIGH DENSITY LIPOPROTEIN CHOLESTEROL LEVEL QUANTITATIVE TRAIT LOCUS 12	612797
infected with hepatitis C virus	D006526
6-pyruvoyl-tetrahydropterin synthase deficiency	C535325
Learning and memory deficits	D008569
mitochondrial damage	D028361
diabetic (streptozotocin-induced) and toxic (vincristine-induced) neuropathy	D010523
Esophageal Neoplasms	D004938
Vascular Neoplasms	D019043
Thrombophlebitis	D013924
Deafness, Autosomal Recessive 59	C565698
CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ip	613661
hypertensive	D006973
heart hypertrophy	D006332
tachy- or bradycardia	D001919
Larsen syndrome, dominant type	C537873
Low Molecular Weight Proteinuria with Hypercalciuria and Nephrocalcinosis	C545036
Alpha-Beta T-Cell Lymphopenia with Gamma-Delta T-Cell Expansion, Severe Cytomegalovirus Infection, and Autoimmunity	C563691
46,XX SEX REVERSAL WITH DYSGENESIS OF KIDNEYS, ADRENALS, AND LUNGS	611812
Dysarthria	D004401
impaired memory functioning	D008569
HEMOLYTIC ANEMIA, NONSPHEROCYTIC, DUE TO GLUCOSE PHOSPHATE ISOMERASE DEFICIENCY	613470
Cross Infection	D003428
Sexual dysfunctions	D012735
allergy	D004342
Chronic Disease	D002908
BLEEDING DISORDER, PLATELET-TYPE, 15	615193
Fibromatosis, Abdominal	D018221
Leukemic Infiltration	D017254
dry eyes	D014985
Holoprosencephaly 2	C563579
Sciatic Neuropathy	D020426
Takotsubo Cardiomyopathy	D054549
locomotor hyperactivity	D009069
Methylmalonic acidemia	C537358
Meretoja syndrome	C537459
inappropriate antidiuretic hormone secretion	D007177
Substance Abuse, Intravenous	D015819
Neurotic Disorders	D009497
Acidosis, Renal Tubular	D000141
ANHIDROSIS, ISOLATED, WITH NORMAL SWEAT GLANDS	106190
Keratoacanthoma familial	C536150
CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 16	613838
cerebral artery and the venous sinus occlusion	-1
Sexual Dysfunctions, Psychological	D020018
hyperglycemia	D006943
GLUCOCORTICOID DEFICIENCY 4 WITH OR WITHOUT MINERALOCORTICOID DEFICIENCY	614736
Lung Neoplasms	D008175
Mucopolysaccharidosis I	D008059
auditory dysfunction	D006311
advanced disease	D020178
end-stage or malignant liver disease	D017114
HYPOGONADOTROPIC HYPOGONADISM 17 WITH OR WITHOUT ANOSMIA	615266
Nephropathy	D007674
Methylmalonate Semialdehyde Dehydrogenase Deficiency	C566402
Leprosy, Multibacillary	D056006
COENZYME Q10 DEFICIENCY, PRIMARY, 3	614652
Foot Ulcer	D016523
audiovisual toxicity	D006311
Scleromyxedema	D053718
haemorrhages	D006470
Gerstmann-Straussler-Scheinker Disease	D016098
Adrenal Cortex Diseases	D000303
Hemoptysis	D006469
NEPHROTIC SYNDROME, TYPE 8	615244
impairment in auditory location discrimination	D001308
Epileptic encephalopathy, Lennox-Gastaut type	C535500
liver lesions	D017093
Lymphoma, Mantle-Cell	D020522
Aspartylglucosaminuria	D054880
HETEROTAXY, VISCERAL, 8, AUTOSOMAL	617205
cytopenia	D006402
IMMUNODEFICIENCY 32A	614893
Amyopathic dermatomyositis	C538250
CD59 Deficiency	C567355
Chromosome 2q37 deletion syndrome	C538317
Paroxysmal Extreme Pain Disorder	C563475
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 51	617339
Eosinophilia-Myalgia Syndrome	D016603
MICROCEPHALY, EPILEPSY, AND DIABETES SYNDROME 1	614231
Brugada Syndrome 3	C567509
BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 4	607447
Pseudoxanthoma Elasticum	D011561
weakness of extremities	D018908
Visceral Pain	D059265
Alkaptonuria	D000474
membranoproliferative glomerulopathy	D015433
dysphagia	D003680
dopaminergic deficits	D009461
Infantile convulsions and paroxysmal choreoathetosis, familial	C535522
Amyotrophic Lateral Sclerosis 10	C567429
Hypoplastic Left Heart Syndrome	D018636
Ischemic Contracture	D054061
Fructosuria	C538068
Aberrant Crypt Foci	D058739
cardiovascular collapse	D002318
Diaphanospondylodysostosis	C564305
Rheumatic Diseases	D012216
staphylococcal infections	D013203
Water Intoxication	D014869
hypoglycemia	D007003
Anorexia Nervosa	D000856
Prion Diseases	D017096
end-stage liver disease	D058625
Retinal Neovascularization	D015861
DILI	D056486
RETINITIS PIGMENTOSA 48	613827
disseminated intravascular coagulation	D004211
idiopathic dilated cardiomyopathy	D002311
Myoclonic, atonic, and absence seizures	D004831
Baboon syndrome	-1
Erythema nodosum	D004893
Drug-induced liver injury	D056486
Eclampsia	D004461
Salpingitis	D012488
NEMALINE MYOPATHY 11, AUTOSOMAL RECESSIVE	617336
low bone turnover	D001851
Myopathy, Early-Onset, with Fatal Cardiomyopathy	C567129
CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 5	615763
HITT	D013927
RIHA	D000743
Parastremmatic dwarfism	C537172
MORM syndrome	C536984
hepatic dysfunction	D008107
Borrelia Infections	D001899
Brain damage	D001930
PEROXISOME BIOGENESIS DISORDER 2B	202370
Signs and Symptoms, Digestive	D012817
hemolysis	D006461
Contusions	D003288
Glaucoma 3, primary infantile, B	C536824
Hereditary renal agenesis	C536482
Pneumopericardium	D011026
Dysentery, Bacillary	D004405
Abdomen, Acute	D000006
Neutropenia, Severe Congenital, Autosomal Recessive 4	C567260
primary cardiomyopathy	D009202
TDFS	D005198
Rheumatic Heart Disease	D012214
INTERSTITIAL NEPHRITIS, KARYOMEGALIC	614817
Chromosome Aberrations	D002869
Complement Component 7 Deficiency	C566443
necrotizing enterocolitis	D020345
hypereosinophilia	D004802
Pulmonary Valve Insufficiency	D011665
seizure disorder	D004827
dysphonia	D055154
Diabetes Mellitus, Insulin-Resistant, with Acanthosis Nigricans	C562710
Muenke Syndrome	C537369
Flaviviridae Infections	D018178
prolonged QT syndrome	D008133
Optic Nerve Diseases	D009901
airway obstruction	D000402
Periodontal Abscess	D010508
Heart Murmurs	D006337
Gingivitis	D005891
Tuberculosis, Multidrug-Resistant	D018088
Basal Ganglia Diseases	D001480
Tetany	D013746
bradykinesia	D018476
Riddle Syndrome	C567453
myocardial dysfunction	D009202
microangiopathy	D014652
Heparin Cofactor II Deficiency	C562865
infarct	D007238
Angina Pectoris	D000787
Hemifacial Spasm	D019569
Tibial Fractures	D013978
Sensory ataxic neuropathy, dysarthria, and ophthalmoparesis	C537583
Vision Disorders	D014786
Bronchiectasis With Or Without Elevated Sweat Chloride 3	C567772
OROFACIODIGITAL SYNDROME XV	617127
Trypanosomiasis, African	D014353
Al Awadi syndrome	C535612
Leukoencephalitis, Acute Hemorrhagic	D004684
status epilepticus	D013226
Asbestosis	D001195
muscle toxicity	D009135
bradycardic	D001919
abnormalities in neuronal systems	D009421
hypersensitivity	D004342
Hypocalciuric hypercalcemia, familial, type 1	C537145
Epidermodysplasia Verruciformis	D004819
Bordetella Infections	D001885
Rodent Diseases	D012376
Hereditary spastic paralysis, infantile onset ascending	C537217
alcohol abuse	D000437
SIADH	D007177
Hypoxia-Ischemia, Brain	D020925
ventricular arrhythmias	D001145
atrial fibrillation and flutter	D001282
Adenocarcinoma Of Esophagus	C562730
nervous system abnormalities	D009421
desquamation	-1
ventricular dilation	D002311
Neuroleptic Malignant Syndrome	D009459
Diamond-Blackfan Anemia 4	C567281
Calciphylaxis	D002115
vascular dysfunctions	D002561
Cleft Palate	D002972
Vulvovaginitis	D014848
BARDET-BIEDL SYNDROME 20	617119
Mental Retardation, X-Linked, Syndromic 13	C566875
acute liver failure	D017114
Severe Dengue	D019595
Urethral Stricture	D014525
METHYLMALONIC ACIDURIA, TRANSIENT, DUE TO TRANSCOBALAMIN RECEPTOR DEFECT	613646
MICROPHTHALMIA, SYNDROMIC 11	614402
Rabbit syndrome	D001480
cholestatic disease	D002779
Pericarditis	D010493
mitral regurgitation	D008944
MYOPIA, HIGH, WITH CATARACT AND VITREORETINAL DEGENERATION	614292
Retinal Nonattachment, Nonsyndromic Congenital	C565633
liver neoplasms	D008113
skin diseases	D012871
Opitz-Kaveggia syndrome	C537923
CAPOS syndrome	C535351
Niemann-Pick disease, type C2	C536119
Iritis	D007500
IUGR	D005317
Waardenburg Syndrome	D014849
acromegalic	D000172
Esophageal Squamous Cell Carcinoma	D000077277
Vestibular Diseases	D015837
Neutropenia, Severe Congenital, Autosomal Dominant 2	C567748
Hyperglycemic acidotic coma	D003128
Cataract, Congenital Nuclear, Autosomal Recessive 3	C566923
nociceptive muscle	D063806
deterioration in visual field	D014786
Long QT syndrome	D008133
Boomerang dysplasia	C536573
EDICT SYNDROME	614303
Embolism, Air	D004618
CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIo	616828
Cardiomyopathy, Familial Hypertrophic, 15	C567681
Ileal Diseases	D007077
Carcinoid Tumor	D002276
impairment of the renal function	D007674
Factor VII Deficiency	D005168
Knobloch syndrome	C537209
Eczema	D004485
Schizophrenia, Paranoid	D012563
Rupture	D012421
GLOBAL DEVELOPMENTAL DELAY, ABSENT OR HYPOPLASTIC CORPUS CALLOSUM, AND DYSMORPHIC FACIES	617260
Congestive heart failure	D006333
patent ductus arteriosus	D004374
Neurodevelopmental Disorders	D065886
epithelial defects	-1
ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 9	615023
Nervous System Diseases	D009422
SSc	D012595
IOP rise	D009798
Spinocerebellar Ataxias	D020754
tubular dysfunction	D005198
Tremor	D014202
DEVELOPMENTAL DYSPLASIA OF THE HIP 1	142700
Epstein Barr Virus infection	D020031
Fibrocystic Breast Disease	D005348
muscle cramps	D009120
Periodontitis	D010518
Fasciitis, Necrotizing	D019115
head twitches	D009069
filariasis	D005368
Spermatocele	D013088
HYPERPHENYLALANINEMIA, BH4-DEFICIENT, C	261630
Epstein-Barr Virus Infections	D020031
Pregnancy, Ectopic	D011271
oscillopsia	D015835
extensively drug-resistant tuberculosis	D054908
Reye syndrome	D012202
Skin Diseases	D012871
Retinitis Pigmentosa 13	C564008
BASAL GANGLIA CALCIFICATION, IDIOPATHIC, 6	616413
constipating	D003248
cleft lip	D002971
Osteoporosis, Postmenopausal	D015663
Arrhythmogenic Right Ventricular Dysplasia, Familial, 8	C564400
psychotic disorders	D011605
Cardiac toxicity	D066126
Arthritis, Infectious	D001170
leukoencephalopathy	D056784
Spondylolysis	D013169
increases in dural blood flow	D006940
Migraine, Familial Hemiplegic, 3	C566500
Premature Ovarian Failure 3	C563816
Herpes Zoster Oticus	D016697
NEURODEGENERATION WITH ATAXIA, DYSTONIA, AND GAZE PALSY, CHILDHOOD-ONSET	617145
Peanut Hypersensitivity	D021183
Smoke Inhalation Injury	D015208
Papilloma	D010212
acute lymphocytic leukemia	D054198
EVEN-PLUS SYNDROME	616854
Lipodystrophy, Partial, Acquired	C562448
PARKINSON DISEASE 5, AUTOSOMAL DOMINANT, SUSCEPTIBILITY TO	613643
Periapical Periodontitis	D010485
renal and/or hepatic dysfunction	D007674
vasculitic disorders	D014652
Nevi and Melanomas	D018326
HYPERPHENYLALANINEMIA, BH4-DEFICIENT, D	264070
temporomandibular disorders	D013705
ST Elevation Myocardial Infarction	D000072657
haemodilution	D020141
paranoia	D010259
Burns	D002056
adult respiratory distress syndrome	D012128
cardiac injury	D006331
MONONEUROPATHY OF THE MEDIAN NERVE, MILD	613353
Complement Component C1s Deficiency	C565170
renal and hepatic failure	D017093
Diamond-Blackfan Anemia 7	C567254
NESCAV SYNDROME	614255
Parakeratosis	D010241
3-METHYLGLUTACONIC ACIDURIA, TYPE VII	616271
Stickler Syndrome, Type I, Nonsyndromic Ocular	C563709
COMPLEMENT COMPONENT 8 DEFICIENCY, TYPE II	613789
depression	D003866
haemorrhagic myocarditis	D009205
Ventricular Dysfunction, Left	D018487
Neurologic Manifestations	D009461
Triple Negative Breast Neoplasms	D064726
Epilepsy, rolandic with paroxysmal exercise-induced dystonia and writer's cramp	C535499
Uridine 5-Prime Monophosphate Hydrolase Deficiency, Hemolytic Anemia due to	C564859
Hyperlysinemias	D020167
reduced cerebellar growth	D006130
Bilateral optic neuropathy	D009901
Foot Deformities, Congenital	D005532
Lacrimal Duct Obstruction	D007767
retinal ganglion	D012173
Weight Loss	D015431
polymyositis	D017285
Cardiomyopathy, Familial Hypertrophic, 13	C567686
Multiple Sclerosis, Relapsing-Remitting	D020529
gall stones	D042882
Port-Wine Stain	D019339
DYSTONIA, CHILDHOOD-ONSET, WITH OPTIC ATROPHY AND BASAL GANGLIA ABNORMALITIES	617282
Psychotic Disorders	D011618
Cardiovascular alterations	D018376
FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS 7	600795
Dysgnathia complex	C537996
PULMONARY FIBROSIS AND/OR BONE MARROW FAILURE, TELOMERE-RELATED, 2	614743
OSTEOGENESIS IMPERFECTA, TYPE XIV	615066
FACTOR V AND FACTOR VIII, COMBINED DEFICIENCY OF, 1	227300
Thrombotic thrombocytopenic purpura, acquired	C536901
acute declines in renal function	D058186
loss of central visual acuity, colour vision (Ishihara) and visual field	D014786
Osteoporosis	D010024
Prostatic Diseases	D011469
CARDIOMYOPATHY, DILATED, 1HH	613881
Central Nervous System Neoplasms	D016543
Doyne honeycomb retinal dystrophy	C535602
psychotic symptoms	D011605
Deafness, Autosomal Dominant 3A	C567277
Calcinosis	D002114
Histiocytosis, Langerhans-Cell	D006646
glomerular and tubular lesions	D007674
GBM	D005909
purpuric lesions	D011693
periocular dermatitis	D019557
Major depressive disorder	D003865
Liver Failure	D017093
Severe combined immunodeficiency due to adenosine deaminase deficiency	C531816
Pontocerebellar Hypoplasia Type 1	C548069
Anovulation	D000858
LONG QT SYNDROME 15	616249
PEROXISOME BIOGENESIS DISORDER 10A (ZELLWEGER)	614882
Transient bullous dermolysis of the newborn	C536979
D-BIFUNCTIONAL PROTEIN DEFICIENCY	261515
PALMOPLANTAR KERATODERMA, NAGASHIMA TYPE	615598
Gallbladder Diseases	D005705
colorectal, breast, pancreaticobiliary, gastric, renal cell and head and neck cancers	D006258
ATRIAL FIBRILLATION, FAMILIAL, 18	617280
Paroxysmal Hemicrania	D051302
Pneumovirus Infections	D018186
Glutamine deficiency, congenital	C536832
Delirium	D003693
Melanoma, Cutaneous Malignant	C562393
neurological disorders	D009422
retinoblastoma	D012175
MENTAL RETARDATION, AUTOSOMAL DOMINANT 10	614256
Pyruvate Carboxylase Deficiency Disease	D015324
Visual loss	D014786
THIAMINE METABOLISM DYSFUNCTION SYNDROME 5 (EPISODIC ENCEPHALOPATHY TYPE)	614458
maculopapular eruption	D003875
Amyotrophic Lateral Sclerosis 2, Juvenile	C565957
Epidermolysis Bullosa Simplex, Autosomal Recessive	C563408
Intracranial Arterial Diseases	D020765
calcification	D002114
HYPOMAGNESEMIA, SEIZURES, AND MENTAL RETARDATION 1	616418
DEAFNESS, AUTOSOMAL RECESSIVE 98	614861
DEAFNESS, AUTOSOMAL RECESSIVE 76	615540
Astigmatism	D001251
Ceroid Lipofuscinosis, Neuronal, 10	C566438
flank pain	D021501
End-stage renal disease	D007676
Glomerulonephritis	D005921
schizo-affective disorder	D011618
HYPOGONADOTROPIC HYPOGONADISM 19 WITH OR WITHOUT ANOSMIA	615269
cognitive impairment	D003072
Piebaldism	D016116
sinoatrial (S-A) block	D012848
impaired cognitive functions	D003072
Ulcer	D014456
Angioid Streaks	D000793
gastrointestinal (GI) bleeding	D006471
Spinocerebellar Ataxia 17	C564616
Cicatrix	D002921
insomnia	D007319
SPINAL MUSCULAR ATROPHY WITH CONGENITAL BONE FRACTURES 2	616867
Adjustment Disorders	D000275
Hypomagnesemia 4, Renal	C567127
spondyloarthropathy	D025242
Drowsiness	D006970
Male Urogenital Diseases	D052801
Chondroblastoma	D002804
cholestasis	D002779
Retinitis Pigmentosa 19	C566637
IMMUNODEFICIENCY, X-LINKED, WITH MAGNESIUM DEFECT, EPSTEIN-BARR VIRUS INFECTION, AND NEOPLASIA	300853
Hereditary Motor And Sensory Neuropathy, Type IIC	C565261
Adrenal Insufficiency, Congenital, With 46,Xy Sex Reversal	C566131
myocardiopathy	D009202
Spastic paraplegia 6, autosomal dominant	C536866
Purine Nucleoside Phosphorylase Deficiency	C562587
behavioral dyscontrol	D002653
hepatic toxicity	D056486
Oculocutaneous Albinism, Type IV	C564696
DIAMOND-BLACKFAN ANEMIA 12	615550
cardiac arrest	D006323
menorrhagia	D008595
CARDIOMYOPATHY, DILATED, 1NN	615916
